Deployment Name,Coffee Island HQ-27
Start Date,01-12-2025
End Date,30-12-2025
Report Generation Date&Time,31/12/2025, 01:06:31 pm

Supplier ,Receiver ,Receiver Kitchen ,Date,Expected Delivery,Indent Number ,Status ,Item Code ,HSN Code ,Item Name ,Category Code ,Category Name ,Super Category Code ,Super Category Name ,Unit ,UnitPrice,Margin Percentage,IndentPrice,Requested Qty ,Tax ,SubTotal ,Amount ,Comment ,Supplied Date ,Supplied Qty ,Tax ,SubTotal ,Amount ,Comment ,Dispatch Number ,Received Date ,Received Qty ,Tax ,SubTotal ,Amount ,Comment ,Directly Issued ,From Store/Kitchen,To Store/Kitchen,Suspicious Qty ,Suspicious Amount ,Reuse Qty ,Reuse Amount ,Wastage Qty ,Wastage Amount ,Item Status ,
Warehouse NCR,Coffee Island HQ-27,-,15-12-2025,16-12-2025,IN43,Received,CNC0000025,,CI Spanish Bom Bom Glass - BR-4010,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,306.25,-,306.25,6,330.75,1837.5,2168.25,-,16-12-2025,0,-,0,0,-,,16-12-2025,0,-,0,0,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,15-12-2025,16-12-2025,IN43,Received,PKG0000009,,Disposable - Cup Holder,CT_22,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,1.8,-,1.8,1500,486.01,2700.03,3186.04,-,16-12-2025,1500,486.01,2700.032141326604,3186.04,-,250,16-12-2025,1500,486.01,2700.03,3186.04,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,15-12-2025,16-12-2025,IN43,Received,PKG0000016,,Disposable - Lid (Cold) 12Oz - Dome,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,3.09,-,3.09,200,111.24,618,729.24,-,16-12-2025,0,-,0,0,-,,16-12-2025,0,-,0,0,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,15-12-2025,16-12-2025,IN43,Received,PKG0000011,,Disposable - Sealing Foil,CT_24,DISPOSABLE PACKAGING - BEVERAGES - CUP SEALING FOIL,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,1.1,-,1.1,1000,198,1100,1298,-,16-12-2025,1000,198,1099.9959185339374,1298,-,250,16-12-2025,1000,198,1100,1298,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,15-12-2025,16-12-2025,IN43,Received,PKG0000023,,Disposable - Stirrer,CT_27,DISPOSABLE PACKAGING - BEVERAGES - WOODEN STIRRER,-,DISPOSABLE TAKE AWAY PACKAGING,PCS..,0.11,-,0.11,1000,19.8,110,129.8,-,16-12-2025,1000,19.8,109.99999999999999,129.8,-,250,16-12-2025,1000,19.8,110,129.8,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,15-12-2025,16-12-2025,IN43,Received,PKG0000007,,Yellow Carry Bag Medium - Ci,CT_21,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,8.61,-,8.61,100,154.98,861,1015.98,-,16-12-2025,100,154.98,861,1015.98,-,250,16-12-2025,100,154.98,861,1015.98,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,15-12-2025,16-12-2025,IN43,Received,PKG0000006,,Yellow Carry Bag Small - Ci,CT_21,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,7.5,-,7.5,500,675,3750,4425,-,16-12-2025,200,270,1500,1770,-,250,16-12-2025,200,270,1500,1770,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,15-12-2025,-,DD30,Received,RAW0000003,,Beans - Kenya Blend,CT_43,RM BEVERAGES - BEANS,-,RAW MATERIAL,GM,1.09,-,1.09,0,-,0,0,-,15-12-2025,2000,109.33,2186.66,2295.99,-,31,16-12-2025,2000,109.33,2186.66,2295.99,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,15-12-2025,-,DD30,Received,RAW0000043,,Coffee Powder - Coffeeccino,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,GM,0.79,-,0.79,0,-,0,0,-,15-12-2025,500,19.75,395,414.75,-,31,16-12-2025,500,19.75,395,414.75,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,15-12-2025,-,DD30,Received,RAW0000029,,Milkshake Powder - Strawberry,CT_48,RM BEVERAGES - POWDERS,-,RAW MATERIAL,GM,0.4,-,0.4,0,-,0,0,-,15-12-2025,500,10,200,210,-,31,16-12-2025,500,10,200,210,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,15-12-2025,-,DD30,Received,PPD0000026,,Standup Single Estate Kenya - Empty Pouch 75 Gms,CT_42,POUCHES/SACHETS,-,PACKAGING FOR PRODUCT DEVELOPMENT,PCS,25.4,-,25.4,0,-,0,0,-,15-12-2025,10,45.72,254,299.72,-,31,16-12-2025,10,45.72,254,299.72,-,No,-,-,0,0.00,0,0,0,0,Received,
Coffee Island AIPL,Coffee Island HQ-27,-,16-12-2025,-,DD31,Received,PKG0000012,,Disposable - Paper Cup 08Oz,CT_25,DISPOSABLE PACKAGING - BEVERAGES - CUPS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,4.7,-,4.7,0,-,0,0,-,16-12-2025,225,190.35,1057.5,1247.85,-,32,16-12-2025,225,190.35,1057.5,1247.85,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,18-12-2025,-,DD6,Received,CNC0000034,,Saucer for Spanish Bom Bom Cup,CT_17,GLASSWARE,-,CROCKERY & CUTLERY,PCS,60.6,-,60.6,0,-,0,0,-,18-12-2025,6,65.45,363.6,429.05,-,254,21-12-2025,6,65.45,363.6,429.05,-,No,-,-,0,0.00,0,0,0,0,Received,
Warehouse NCR,Coffee Island HQ-27,-,20-12-2025,-,DD8,Received,PKG0000018,,Disposable - Lid (Hot) 08Oz,CT_23,DISPOSABLE PACKAGING - BEVERAGES - LIDS,-,DISPOSABLE TAKE AWAY PACKAGING,PCS,2.23,-,2.23,0,-,0,0,-,20-12-2025,300,120.15,667.5011249437529,787.65,-,259,21-12-2025,300,120.15,667.5,787.65,-,No,-,-,0,0.00,0,0,0,0,Received,
