Customer,Date,Rating,Comments,Outlet Name
Prakriti Rai,28-Dec-2025,5,"Our experience was great, the ambience is really cosy and farad was really welcoming as well, I liked the good as well",Coffee Island NSP - New Delhi
Srivats Deshpande,15-Jan-2026,5,"Great coffee and ambience, and Azhar was very helpful with recommendations",Coffee Island - Amanora Mall
Sherin,13-Feb-2026,5,They have amazing cheesecake really love it.,Coffee Island - Amanora Mall
Pintu,17-Jan-2026,5,fantastic service.... Sham really appreciates the order taking,Coffee Island Eros Churchgate - Mumbai
Deepika,11-Jan-2026,5,Himanshu was great,Coffee Island AIPL
Aditi,06-Feb-2026,5,"good food and good ambience! very affordable too. Anushaya was a thoughtful server who gave great recs! 
definitely a must visit!",Coffee Island Eros Churchgate - Mumbai
Raees Kashif,15-Feb-2026,1,cash back not received,Coffee Island Eros Churchgate - Mumbai
Chirag  Kewalramani,17-Jan-2026,5,shyam was the best employee helped us with everything we needed he has the best quality to run any business,Coffee Island Eros Churchgate - Mumbai
Pankajj S Bisht,17-Jan-2026,5,"Amazing place, Ashiq was at the billing counter, who suggested about tgeir specialities. Great place for coffee",Coffee Island HQ-27
Sohail,18-Jan-2026,5,Superb place to vist,Coffee Island Eros Churchgate - Mumbai
Pritam Bhosale,17-Jan-2026,5,Polite staff,"Coffee Island, NIBM Road"
Sakshi,18-Jan-2026,5,Loved the chilli cheese sandwich and the mocha. Faizan provided great service!,Coffee Island - Amanora Mall
Starnbucks,12-Jan-2026,5,shivani was great with her service and hospitality,Coffee Island Beyond GK II
Atharva Paranjpe,11-Jan-2026,1,"Extremely disappointing service experience by AZHAR person
The service provider AZHAR was rude, spoke unnecessarily, and had the audacity to talk back while teaching us about money. The language and tone used were completely unprofessional and unacceptable for a place that serves customers. There was absolutely no need for such behavior, and it ruined the entire experience.
That said, the coffee itself tastes very good and is well made. However, because of the poor attitude and lack of basic courtesy, I would strongly recommend not sitting here.
Only order takeaway if you must, enjoy the coffee elsewhere, and avoid dealing with the service as much as possible.",Coffee Island Eros Churchgate - Mumbai
Raj Kumar Mandal,16-Feb-2026,4,A nice place to have a coffee.. however my expectations were high for pistachio cappuccino..apart from that service was good... the place is good too.,Coffee Island Beyond GK II
Raj Kumar Mandal,16-Feb-2026,4,A nice place to have a coffee.. however my expectations were high for pistachio cappuccino..apart from that service was good... the place is good too.,Coffee Island Beyond GK II
User,06-Feb-2026,5,Coffee island is definitely worth a visits👌,Coffee Island - Amanora Mall
AArohi,27-Dec-2025,2,Food is just too bad. Coffee was good.,Coffee Island Eros Churchgate - Mumbai
SK,15-Jan-2026,5,it was the best experiance with island coffee,"Coffee Island, NIBM Road"
SK,15-Jan-2026,5,it was the best experiance with island coffee,"Coffee Island, NIBM Road"
Shivani Singh,10-Jan-2026,4,"Coffee could be more towards a thicker side but blend was awesome and I really loved  the brownies it was too
 good",Coffee Island Phoenix Market City - Mumbai
Surya Prakash,01-Feb-2026,3,sugar pouchs may be given with the delivery,Coffee Island Eros Churchgate - Mumbai
Chaitanya Sharma,24-Jan-2026,1,Very Poor packing,Coffee Island Phoenix Market City - Mumbai
Irfan Khan,13-Jan-2026,5,amazing service...visit again,Coffee Island Eros Churchgate - Mumbai
User_213085184,28-Jan-2026,5,Good drinks and amazing service by Udit!,Coffee Island Beyond GK II
Aryavbablani,15-Jan-2026,5,great staff amazing ambience,Coffee Island NSP - New Delhi
Himanshu Gupta,11-Jan-2026,5,Great Coffee,Coffee Island NSP - New Delhi
Ayushi Sur,13-Feb-2026,5,Yuvraj served us very humbly. Took notes of all/any requests we had. The coffees were good but the food could have been much better.,Coffee Island - Amanora Mall
Ankush Chauhan,18-Jan-2026,5,A must visit coffee shop when u r at Amanora. The coffee was superb. Special thanks to karan for customizing my coffee per my need. Kudos to the team&hellip;!!,Coffee Island - Amanora Mall
