Generated On: 2026-02-05 01:50:00 pm
*All the values shown here are in INR,

Outlet Name,Cluster,Format,Date,Hour,Tab,Sale,Discount,Net Sale,Total Charges,Total Tax,Gross Sale,NOB,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-04,10,DINE IN,210.00,0.00,210.00,0.00,10.50,220.50,1,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-04,11,TAKEAWAY,310.00,0.00,310.00,0.00,15.50,325.50,1,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-04,11,DINE IN,665.00,0.00,665.00,0.00,33.25,698.25,1,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-04,12,TAKEAWAY,210.00,0.00,210.00,0.00,10.50,220.50,1,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-04,12,DINE IN,230.00,0.00,230.00,0.00,11.50,241.50,1,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-04,13,DINE IN,860.00,0.00,860.00,0.00,43.00,903.00,2,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-04,14,DINE IN,2446.20,0.00,2446.20,0.00,122.31,2568.51,4,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-04,15,DINE IN,2510.00,0.00,2510.00,0.00,125.50,2635.50,1,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-04,15,TAKEAWAY,1828.57,0.00,1828.57,0.00,91.43,1920.00,4,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-04,16,TAKEAWAY,195.00,0.00,195.00,0.00,9.75,204.75,1,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-04,16,DINE IN,3240.00,0.00,3240.00,0.00,162.00,3402.00,4,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-04,17,DINE IN,1907.10,0.00,1907.10,0.00,95.36,2002.46,4,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-04,18,DINE IN,1360.00,0.00,1360.00,0.00,68.00,1428.00,2,
Coffee Island Phoenix Market City - Mumbai,Coffee Island Phoenix Market City - Mumbai,CAFE,2026-02-04,19,DINE IN,1925.00,0.00,1925.00,0.00,96.25,2021.25,2,
