All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Delivery Charge,Platform Fee Charge,Restaurant Packaging Charges,Packaging Charge,Smile Amount Charge,Charges,Net Sale,GST @5%,GST @18%,GST @12%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island HQ-27",2025-06-20,"Swiggy",15.00,3,0,1746.25,732.99,0,0,0,0,0,0,0,0.00,1013.26,0,0,0,50.67,50.67,1063.93,0.07,1064.00,
"-","-","North","Coffee Island HQ-27",2025-06-20,"Mobile App",4.00,2,0,438.00,204.00,0,10.00,0,0,0,0,0,10.00,234.00,13.50,0,0,0,13.50,257.50,-0.50,257.00,
"-","-","North","Coffee Island HQ-27",2025-06-20,"POS",172.00,48,0,27459.38,760.38,0,0,0,0,0,0,0,0.00,26699.00,1281.36,147.35,30.26,0,1458.97,28157.97,1.03,28159.00,
"-","-","North","Coffee Island HQ-27",2025-06-21,"POS",111.00,42,0,15767.54,493.86,0,0,0,0,0,0,0,0.00,15273.68,643.97,245.28,123.66,0,1012.91,16286.59,0.41,16287.00,
"-","-","North","Coffee Island HQ-27",2025-06-21,"Swiggy",11.00,4,0,1600.00,391.99,0,0,0,0,0,0,0,0.00,1208.01,0,0,0,60.40,60.40,1268.41,0.59,1269.00,
"-","-","North","Coffee Island HQ-27",2025-06-21,"Zomato",20.00,9,0,3198.81,610.00,0,0,0,0,180.00,0,0,180.00,2588.81,0,0,0,138.44,138.44,2907.25,0.75,2908.00,
"-","-","North","Coffee Island HQ-27",2025-06-21,"Mobile App",10.00,4,0,2451.00,728.00,0,20.00,0,0,0,0,5.00,25.00,1723.00,89.75,0,0,0,89.75,1837.75,-0.75,1837.00,
"-","-","North","Coffee Island HQ-27",2025-06-21,"Swiggy-Bolt Urgent",10.00,2,0,967.50,239.99,0,0,0,0,0,0,0,0.00,727.51,0,0,0,36.37,36.37,763.88,0.12,764.00,
"-","-","North","Coffee Island HQ-27",2025-06-22,"Zomato",38.00,12,0,6371.96,1941.91,0,0,0,0,240.00,0,0,240.00,4430.06,0,0,0,233.51,233.51,4903.57,0.43,4904.00,
"-","-","North","Coffee Island HQ-27",2025-06-22,"Swiggy",13.00,4,0,2318.75,711.97,0,0,0,0,0,0,0,0.00,1606.78,0,0,0,80.34,80.34,1687.12,-0.12,1687.00,
"-","-","North","Coffee Island HQ-27",2025-06-22,"POS",83.00,18,0,9809.26,912.48,0,0,0,0,0,0,0,0.00,8896.78,433.16,41.92,0,0,475.08,9371.86,1.14,9373.00,
"-","-","North","Coffee Island HQ-27",2025-06-22,"Swiggy-Bolt Urgent",4.00,1,0,342.50,75.00,0,0,0,0,0,0,0,0.00,267.50,0,0,0,13.38,13.38,280.88,0.12,281.00,
"-","-","North","Coffee Island HQ-27",2025-06-22,"Mobile App",4.00,1,0,514.00,100.00,0,5.00,0,0,0,0,0,5.00,414.00,21.60,0,0,0,21.60,440.60,0.40,441.00,
"-","-","North","Coffee Island HQ-27",2025-06-23,"Swiggy",19.00,5,0,2350.00,1047.00,0,0,0,0,0,0,0,0.00,1303.00,0,0,0,65.15,65.15,1368.15,-0.15,1368.00,
"-","-","North","Coffee Island HQ-27",2025-06-23,"Zomato",43.00,9,0,5555.24,1497.14,0,0,0,0,180.00,0,0,180.00,4058.10,0,0,0,211.91,211.91,4450.01,-0.01,4450.00,
