All the values shown here are in INR.

  Building Type,Area,Region,Outlet Name,Date,Source,No Of Items,No Of Bills,Employee Meal Bills,Sale,Discount,Restaurant Packaging Charges,Packaging Charge [CART - SWIGGY],Restaurant Charge,Staff Welfare charge at 5%,Staff Welfare,Delivery Charge,Platform Fee Charge,Smile Amount Charge,Charges,Net Sale,ECom_GST@5%,GST @5%,GST @18%,GST @40%,Total Tax,Total Amount,Round Off,Gross Amount,
"-","-","North","Coffee Island HQ-27",2025-12-30,"Swiggy-Bolt Urgent",5.00,3,0,1460.00,705.00,0,60.00,0,0,0,0,0,0,60.00,755.00,40.75,0,0,0,40.75,855.75,1.25,857.00,
"-","-","North","Coffee Island HQ-27",2025-12-31,"Zomato",31.00,19,0,9089.20,3484.00,380.00,0,0,0,0,0,0,0,380.00,5605.20,285.96,0,47.92,0,333.88,6319.08,2.92,6322.00,
"-","-","North","Coffee Island HQ-27",2025-12-31,"Swiggy-Bolt Urgent",2.00,1,0,500.00,250.00,0,20.00,0,0,0,0,0,0,20.00,250.00,13.50,0,0,0,13.50,283.50,0.50,284.00,
"-","-","North","Coffee Island HQ-27",2025-12-31,"POS",111.00,47,0,26309.66,1789.50,0,0,0,0,0,0,0,0,0.00,24520.16,0,1226.06,0,0,1226.06,25746.22,7.78,25754.00,
"-","-","North","Coffee Island HQ-27",2025-12-31,"Swiggy",25.00,11,0,7434.50,2864.90,0,220.00,0,0,0,0,0,0,220.00,4569.60,239.48,0,0,0,239.48,5029.08,-0.08,5029.00,
"-","-","North","Coffee Island HQ-27",2025-12-31,"Mobile App",3.00,3,0,628.00,200.00,0,0,15.00,0,0,0,0,0,15.00,428.00,0,24.10,0,0,24.10,467.10,0.90,468.00,
"-","-","North","Coffee Island AIPL",2025-12-01,"POS",52.00,27,0,11581.10,210.50,0,0,0,0,0,0,0,0,0.00,11370.60,0,568.56,0,0,568.56,11939.16,4.84,11944.00,
"-","-","North","Coffee Island AIPL",2025-12-01,"Mobile App",8.00,6,0,2221.00,674.00,0,0,45.00,0,0,30.00,5.00,0,80.00,1547.00,0,91.75,0,0,91.75,1718.75,0.25,1719.00,
"-","-","North","Coffee Island AIPL",2025-12-01,"Zomato",14.00,10,0,4555.00,2057.50,200.00,0,0,0,0,0,0,0,200.00,2497.50,134.89,0,0,0,134.89,2832.39,1.61,2834.00,
"-","-","North","Coffee Island AIPL",2025-12-01,"Swiggy",4.00,2,0,889.50,360.00,0,60.00,0,0,0,0,0,0,60.00,529.50,29.48,0,0,0,29.48,618.98,0.02,619.00,
