Super Category ,Category Name,Item Name ,Has Expiry,Tax Rate,Purchase UOM,Base UOM,Conversion Factor
CAPEX,SMALLWARE,Chopping Board - Green,,,PCS,PCS,1
CAPEX,SMALLWARE,Chopping Board - Red,,,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Cinnamon Pistachio Tea Cake,,,PCS,PCS,1
CAPEX,SMALLWARE,Condiment Tray (Assembly Station) (9 Compartment),,,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,Coriander Leaves,,,"PKT(300 GM),GM",GM,300
DISPOSABLE TAKE AWAY PACKAGING,DISPOSABLE PACKAGING - FOOD - FOOD BOX,Corrugated Pizza Box (Large) Fits 10 Inch Pizza (Pack of 50),,,PKT(50PC),PCS,50
CROCKERY & CUTLERY,CROCKERY,Cruet set (Salt & Pepper),,,PCS,PCS,1
CAPEX,OUTLET EQUIPMENT,Ductless Chimney,,,PCS,PCS,1
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING TOOLS - WIPES/SCRUBBERS/PADS,Duster Microfiber Blue,,,PCS,PCS,1
SANITATION HOUSEKEEPING & CLEANING SUPPLIES,CLEANING TOOLS - WIPES/SCRUBBERS/PADS,Duster Microfiber Brown,,,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,Electric Omelette Maker,,,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,FDU Table Top 2 Ft CTSR-23 Premia,,,PCS,PCS,1
RAW MATERIAL,RM FOOD - VEG INGREDIENTS,French Butter Croissant,,,PCS,PCS,1
CAPEX,BOH FOOD EQUIPMENT,Fryer EF-4 Europa,,,PCS,PCS,1
CAPEX,SMALLWARE,GN Pans (1/3) Lid,,,PCS,PCS,1
