Recipe Name,Recipe Qty,Recipe Unit,Item Name,Item Qty,Item Unit,Item Tab Type,Virtual Item Name
,,,Disposable - Wooden Spoon,1,PCS,Takeout Add Ons
,,,Disposable - Lid (Cold) 12Oz And 16Oz - Flat,1,PCS,Takeout Add Ons
,,,Disposable - Paper Cup 12Oz,1,PCS,Takeout Add Ons
,,,Disposable - Sealing Foil,1,PCS,Takeout Add Ons
,,,Disposable - Cup Holder,1,PCS,Takeout Add Ons
,,,Disposable - Wooden Spoon,1,PCS,Delivery Add Ons
,,,Disposable - Lid (Cold) 12Oz And 16Oz - Flat,1,PCS,Delivery Add Ons
,,,Disposable - Paper Cup 12Oz,1,PCS,Delivery Add Ons
,,,Disposable - Sealing Foil,1,PCS,Delivery Add Ons
,,,Disposable - Cup Holder,1,PCS,Delivery Add Ons
Orange Hot Chocolate,1,PCS,,,
,,,Chocolate Powder - Hot,16,GM,Base Recipe
,,,Milk - Regular,120,GM,Base Recipe
,,,Bird Eye Chilli Syrup,5,GM,Base Recipe
,,,Orange syrup,20,GM,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Disposable - Lid (Hot) 08Oz,1,PCS,Takeout Add Ons
,,,Disposable - Paper Cup 08Oz,1,PCS,Takeout Add Ons
,,,Disposable - Sealing Foil,1,PCS,Takeout Add Ons
,,,Disposable - Cup Holder,1,PCS,Takeout Add Ons
,,,Disposable - Stirrer,1,PCS,Takeout Add Ons
,,,Disposable - Lid (Hot) 08Oz,1,PCS,Delivery Add Ons
,,,Disposable - Paper Cup 08Oz,1,PCS,Delivery Add Ons
,,,Disposable - Sealing Foil,1,PCS,Delivery Add Ons
,,,Disposable - Cup Holder,1,PCS,Delivery Add Ons
,,,Disposable - Stirrer,1,PCS,Delivery Add Ons
Islander Pistachio Icebrew,1,PCS,,,
,,,Milk - Regular,150,GM,Base Recipe
,,,Beans - Master Blend,18,GM,Base Recipe
,,,Pistachio Sauce,40,GM,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Disposable - Straw - 08Mm,1,PCS,Base Recipe
,,,Disposable - Lid (Cold) 12Oz And 16Oz - Flat,1,PCS,Takeout Add Ons
,,,Disposable - Paper Cup 12Oz,1,PCS,Takeout Add Ons
,,,Disposable - Sealing Foil,1,PCS,Takeout Add Ons
,,,Disposable - Cup Holder,1,PCS,Takeout Add Ons
,,,Disposable - Lid (Cold) 12Oz And 16Oz - Flat,1,PCS,Delivery Add Ons
,,,Disposable - Paper Cup 12Oz,1,PCS,Delivery Add Ons
,,,Disposable - Sealing Foil,1,PCS,Delivery Add Ons
,,,Disposable - Cup Holder,1,PCS,Delivery Add Ons
Island's Choco Joy - Hot,1,PCS,,,
,,,Milk - Regular,100,GM,Base Recipe
,,,Chocolate Powder - Hot,30,GM,Base Recipe
,,,Crema - Base - Rich Cream (Whip Topping),53.2,GM,Base Recipe
,,,Cream Charger,0.11,PCS,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Chip - Chocolate Chip - Morde,10,GM,Base Recipe
,,,Sauce - Chocolate,10,GM,Base Recipe
,,,Disposable - Wooden Spoon,1,PCS,Takeout Add Ons
,,,Disposable - Lid (Cold) 12Oz And 16Oz - Flat,1,PCS,Takeout Add Ons
,,,Disposable - Paper Cup 12Oz,1,PCS,Takeout Add Ons
,,,Disposable - Sealing Foil,1,PCS,Takeout Add Ons
,,,Disposable - Cup Holder,1,PCS,Takeout Add Ons
,,,Disposable - Wooden Spoon,1,PCS,Delivery Add Ons
,,,Disposable - Lid (Cold) 12Oz And 16Oz - Flat,1,PCS,Delivery Add Ons
,,,Disposable - Paper Cup 12Oz,1,PCS,Delivery Add Ons
,,,Disposable - Sealing Foil,1,PCS,Delivery Add Ons
,,,Disposable - Cup Holder,1,PCS,Delivery Add Ons
Islander Vibes Hoodie (Small),1,PCS,,,
,,,Hoodie - S,1,PCS,Base Recipe
Islander Vibes Hoodie (XL),1,PCS.,,,
,,,Hoodie - Xl,1,PCS,Base Recipe
Islander Vibes Hoodie (Large),1,PCS.,,,
,,,Hoodie - L,1,PCS,Base Recipe
Chipotle Chicken With Broccomole with Islander Cold Coffee,1,PCS,,,
,,,Mexican Rice Mix,150,GM,Base Recipe
,,,Broccomole,20,GM,Base Recipe
,,,Tomato Salsa,20,GM,Base Recipe
,,,Sour Cream,10,GM,Base Recipe
,,,Disposable - Tissue Paper,2,PCS,Base Recipe
,,,Beans - Volcano Blend,18,GM,Base Recipe
,,,Milk - Regular,60,GM,Base Recipe
,,,Ice Cream Vanilla - Amul,180,GM,Base Recipe
,,,Disposable - Straw - 08Mm,1,PCS,Base Recipe
,,,Chipotle Chicken,50,GM,Base Recipe
,,,Disposable - Wooden Spoon,1,PCS,Takeout Add Ons
,,,Disposable - Wooden Fork,1,PCS,Takeout Add Ons
,,,Disposable - Cutlery Sleeve,2,PCS,Takeout Add Ons
,,,Disposable - Paper Bowl (1000Ml),1,PCS,Takeout Add Ons
,,,Disposable - Lid (Cold) 12Oz - Dome,1,PCS,Takeout Add Ons
,,,Disposable - Paper Cup 12Oz,1,PCS,Takeout Add Ons
,,,Disposable - Cup Holder,1,PCS,Takeout Add Ons
,,,Disposable - Wooden Spoon,1,PCS,Delivery Add Ons
,,,Disposable - Wooden Fork,1,PCS,Delivery Add Ons
,,,Disposable - Cutlery Sleeve,2,PCS,Delivery Add Ons
,,,Disposable - Paper Bowl (1000Ml),1,PCS,Delivery Add Ons
,,,Disposable - Lid (Cold) 12Oz - Dome,1,PCS,Delivery Add Ons
,,,Disposable - Paper Cup 12Oz,1,PCS,Delivery Add Ons
,,,Disposable - Cup Holder,1,PCS,Delivery Add Ons
,,,Disposable - Sealing Foil,1,PCS,Delivery Add Ons
Iced Classic Lemon Tea(emp),1,PCS,,,
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Iced Tea Powder - Classic Lemon,30,GM,Base Recipe
,,,Disposable - Straw - 08Mm,1,PCS,Base Recipe
Butterfly Pea with Lemon Grass(emp),1,PCS,,,
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Sugar Sachets (White),2,PCS,Base Recipe
,,,Tea Bag - Butterfly Pea,1,PCS,Base Recipe
Cortardo(emp),1,PCS,,,
,,,Beans - Master Blend,18,GM,Base Recipe
,,,Milk - Regular,120,GM,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Sugar Sachets (White),2,PCS,Base Recipe
Indian Masala(emp),1,PCS,,,
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Milk - Regular,50,GM,Base Recipe
,,,Sugar Sachets (White),2,PCS,Base Recipe
,,,Tea Bag - Indian Masala,1,PCS,Base Recipe
Chamomile Sunset Classic(emp),1,PCS,,,
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Sugar Sachets (White),2,PCS,Base Recipe
,,,Tea Bag - Chamomile And Lemon Grass,1,PCS,Base Recipe
Morning Breakfast(emp),1,PCS,,,
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Milk - Regular,50,GM,Base Recipe
,,,Sugar Sachets (White),2,PCS,Base Recipe
,,,Tea Bag - English Breakfast,1,PCS,Base Recipe
Freddo Espresso Ristretto(emp),1,PCS,,,
,,,Beans - Volcano Blend,18,GM,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Disposable - Straw - 08Mm,1,PCS,Base Recipe
Freddo Cappuccino(emp),1,PCS,,,
,,,Beans - Volcano Blend,18,GM,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Milk - Skimmed,100,GM,Base Recipe
,,,Disposable - Straw - 08Mm,1,PCS,Base Recipe
,,,Sugar Sachets (White),2,PCS,Base Recipe
Macchiato(emp),1,PCS,,,
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Milk - Regular,120,GM,Base Recipe
,,,Sugar Sachets (White),2,PCS,Base Recipe
,,,Beans - Master Blend,18,GM,Base Recipe
Lungo(emp),1,PCS,,,
,,,Beans - Master Blend,18,GM,Base Recipe
,,,Sugar Sachets (White),2,PCS,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
Latte(emp),1,PCS,,,
,,,Beans - Volcano Blend,18,GM,Base Recipe
,,,Milk - Regular,150,GM,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Sugar Sachets (White),2,PCS,Base Recipe
Flat White(emp),1,PCS,,,
,,,Beans - Master Blend,18,GM,Base Recipe
,,,Milk - Regular,130,GM,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Sugar Sachets (White),2,PCS,Base Recipe
Espresso(emp),1,PCS,,,
,,,Beans - Master Blend,18,GM,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Sugar Sachets (White),2,PCS,Base Recipe
Cappuccino(emp),1,PCS,,,
,,,Beans - Volcano Blend,18,GM,Base Recipe
,,,Milk - Regular,130,GM,Base Recipe
,,,Chocolate Powder - Hot,15,GM,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
Americano(emp),1,PCS,,,
,,,Beans - Master Blend,18,GM,Base Recipe
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Sugar Sachets (White),2,PCS,Base Recipe
,,,Disposable - Straw - 08Mm,1,PCS,Base Recipe
Slushed Pineapple Mango Sunshine(emp),1,PCS,,,
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Refresh Tea - Mango,40,GM,Base Recipe
,,,Disposable - Straw - 08Mm,1,PCS,Base Recipe
Slushed Peach Paradise(emp),1,PCS,,,
,,,Disposable - Tissue Paper,1,PCS,Base Recipe
,,,Refresh Tea - Peach,40,GM,Base Recipe
,,,Disposable - Straw - 08Mm,1,PCS,Base Recipe
Iced Latte(emp),1,PCS,,,
