Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island - Amanora Mall","10004","2025-10-26","2025-10-26","T1-3601","86","Mobile App","ONLINE","Hot Beverages","Hot Brews","97","Hot Latte Signature-reg","2025-10-26","08:25:39 PM","2025-10-26","08:50:51 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","240","240","-","Bill Void","-",
"Coffee Island - Amanora Mall","10004","2025-10-26","2025-10-26","T1-3601","86","Mobile App","ONLINE","ADDON","Choice of Beans","138","Master Blend @0","2025-10-26","08:25:39 PM","2025-10-26","08:50:51 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","0","0","-","Bill Void","-",
"Coffee Island - Amanora Mall","10004","2025-10-26","2025-10-26","T1-3601","86","Mobile App","ONLINE","ADDON","Choice of Syrup","166","Hazelnut Syrup @50","2025-10-26","08:25:39 PM","2025-10-26","08:50:51 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","50","50","-","Bill Void","-",
"Coffee Island - Amanora Mall","10004","2025-10-26","2025-10-26","T1-3601","86","Mobile App","ONLINE","Main Course","Pasta","182","Classic Creamy Mac & Cheese","2025-10-26","08:25:39 PM","2025-10-26","08:50:51 PM","vitaxnova_ciam_karan","vitaxnova_ciam_karan","1","370","370","-","Bill Void","-",
"Coffee Island - Tribeca Pune","10005","2025-10-05","2025-10-05","T1-1604","72","Swiggy","DELIVERY","Quick Bites","Croissant Cookie & Muffin","213","Sea Salt Caramel Brookie","2025-10-05","09:40:40 PM","2025-10-05","09:53:39 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","2","230","460","-","Bill Void","-",
"Coffee Island - Tribeca Pune","10005","2025-10-08","2025-10-08","T1-1713","30","POS","DINE IN","Desserts","Desserts","-","Pecan & Date Tea Cake","2025-10-08","08:12:42 PM","2025-10-08","08:17:49 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","290","290","customer want brownie","Item Delete","-",
"Coffee Island - Tribeca Pune","10005","2025-10-11","2025-10-11","T1-1832","24","POS","DINE IN","Cold Beverages","Cold Brews","-","Iced Latte Signature-Med","2025-10-11","04:38:34 PM","2025-10-11","05:09:45 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","280","280","guest order hot","Item Delete","-",
"Coffee Island - Tribeca Pune","10005","2025-10-11","2025-10-11","T1-1832","24","POS","DINE IN","ADDON","Choice of Beans","-","Master Blend @0","2025-10-11","04:38:34 PM","2025-10-11","05:09:45 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","0","0","-","Item Delete","-",
"Coffee Island - Tribeca Pune","10005","2025-10-11","2025-10-11","T1-1832","24","POS","DINE IN","ADDON","Choice of Milk","-","Regular - Milk -120g Default","2025-10-11","04:38:34 PM","2025-10-11","05:09:45 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","0","0","-","Item Delete","-",
"Coffee Island - Tribeca Pune","10005","2025-10-11","2025-10-11","T1-1851","43","Swiggy","DELIVERY","Desserts","Desserts","190","Pecan & Date Tea Cake","2025-10-11","06:42:37 PM","2025-10-11","07:00:44 PM","vitaxnova_citp_faizan","vitaxnova_citp_faizan","1","320","320","-","Bill Void","-",
