Outlet Name,Store Id,Bill Date,Business Date,Bill Number,KOT Number,Source,Tab Name,Super Category,Category,Item Code,Item Name,Bill Created Date,Bill Created Time,Void Date,Void Time,Void User,Bill Made By,Quantity,Rate,Amount,Comment,Type,Payment Mode
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15495","49","POS","DINE IN","Cold Beverages","Island Special-Cold","46","Orange Bumble Coffee","2025-12-14","06:00:02 PM","2025-12-14","08:24:15 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","345","345","dual punch","Bill Void","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15498","52","POS","DINE IN","Breakfast Specials (Make your own)","Breakfast Specials (Make your own)","-","French Butter Croissant with Cappuccino","2025-12-14","06:14:51 PM","2025-12-14","06:30:31 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","149","149","wrong ounch","Item Delete","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15504","59","POS","DINE IN","Cold Beverages","Iced Chocolate","-","Guilt-Free Iced Chocolate","2025-12-14","06:47:02 PM","2025-12-14","07:47:02 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","270","270","1","Item Delete","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15506","61","POS","DINE IN","Cold Beverages","Island Special-Cold","365","Java Chip Killer","2025-12-14","07:03:45 PM","2025-12-14","07:32:32 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","330","330","wrong punched","KOT Void","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15506","61","POS","DINE IN","Food","Sides","646","Classic Fries","2025-12-14","07:03:45 PM","2025-12-14","07:32:32 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","190","190","wrong punched","KOT Void","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15506","61","POS","DINE IN","Food","Sides","655","Loaded Nachos - Veg","2025-12-14","07:03:45 PM","2025-12-14","07:32:32 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","310","310","wrong punched","KOT Void","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15506","61","POS","DINE IN","Hot Beverages","Hot Brews","106","Cappuccino","2025-12-14","07:03:45 PM","2025-12-14","07:32:32 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","230","230","wrong punched","KOT Void","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15506","61","POS","DINE IN","Cold Beverages","Cold Brews","6","Bobastic Coffeeccino","2025-12-14","07:03:45 PM","2025-12-14","07:32:32 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","290","290","wrong punched","KOT Void","-",
"Coffee Island GK II","10002","2025-12-14","2025-12-14","T1-15507","62","POS","DINE IN","Hot Beverages","Hot Brews","-","Cappuccino","2025-12-14","07:13:58 PM","2025-12-14","07:20:01 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","230","230","1","Item Delete","-",
"Coffee Island GK II","10002","2025-12-15","2025-12-15","T1-15538","3","POS","TAKEAWAY","Hot Beverages","Hot Brews","99","Americano","2025-12-15","08:34:02 AM","2025-12-15","01:22:17 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","285","285","unable ton settle","Bill Void","-",
"Coffee Island GK II","10002","2025-12-15","2025-12-15","T1-15538","3","POS","TAKEAWAY","Hot Beverages","Hot Brews","97","Hot Latte Signature","2025-12-15","08:34:02 AM","2025-12-15","01:22:17 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","315","315","unable ton settle","Bill Void","-",
"Coffee Island GK II","10002","2025-12-15","2025-12-15","T1-15538","3","POS","TAKEAWAY","Hot Beverages","Hot Brews","106","Cappuccino","2025-12-15","08:34:02 AM","2025-12-15","01:22:17 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_neeraj","1","280","280","unable ton settle","Bill Void","-",
"Coffee Island GK II","10002","2025-12-15","2025-12-15","T1-15563","35","QR","DINE IN","Hot Beverages","Hot Brews","90","Cortardo","2025-12-15","05:06:15 PM","2025-12-15","05:12:07 PM","vitaxnova_cigk2_neeraj","vitaxnova_cigk2_yasmin","1","230","230","test by dheeraj","Bill Void","-",
"Coffee Island GK II","10002","2025-12-15","2025-12-15","T1-15574","47","POS","DINE IN","Cold Beverages","Cold Brews","-","Iced Latte Signature","2025-12-15","08:11:09 PM","2025-12-15","08:20:07 PM","vitaxnova_cigk2_yasmin","vitaxnova_cigk2_neeraj","1","330","330","GUEST CHANGED MIND","Item Delete","-",
"Coffee Island HQ-27","10001","2025-12-03","2025-12-03","T1-14147","35","POS","TAKEAWAY","Snacks","Trail Mix","-","Masala Cashew","2025-12-03","03:02:27 PM","2025-12-03","06:12:38 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","1","111.61","111.61","wrong punch","Item Delete","-",
"Coffee Island HQ-27","10001","2025-12-03","2025-12-03","T1-14148","36","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-12-03","03:07:21 PM","2025-12-03","04:01:09 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","38.1","38.1","IT TESTING","Bill Void","Cash",
"Coffee Island HQ-27","10001","2025-12-03","2025-12-03","T1-14154","42","POS","DINE IN","Snacks","Trail Mix","-","Masala Cashew","2025-12-03","03:38:34 PM","2025-12-03","06:15:30 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","1","111.61","111.61","Wrong Punch","Item Delete","-",
"Coffee Island HQ-27","10001","2025-12-03","2025-12-03","T1-14155","43","POS","DINE IN","Snacks","Trail Mix","-","The Ultimate  Sweet Crunchy Nut Mix","2025-12-03","03:43:43 PM","2025-12-03","06:22:23 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","1","138.39","138.39","Wrong Punch","Item Delete","-",
"Coffee Island HQ-27","10001","2025-12-03","2025-12-03","T1-14156","44","POS","DINE IN","Snacks","Trail Mix","-","Hazelnut Chocolate Shots","2025-12-03","04:06:53 PM","2025-12-03","06:17:38 PM","vitaxnova_igm_aashiq","vitaxnova_ic_payel","1","100.85","100.85","Wrong","Item Delete","-",
"Coffee Island HQ-27","10001","2025-12-04","2025-12-04","T1-14220","30","POS","DINE IN","Ready To Drink","Cold Brew","284","500 Ml Water Bottle","2025-12-04","12:13:07 PM","2025-12-04","12:19:36 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","38.1","38.1","IT TESTING","Bill Void","Cash",
"Coffee Island HQ-27","10001","2025-12-09","2025-12-09","T1-14599","15","POS","DINE IN","Breakfast Specials (Make your own)","Breakfast Specials (Make your own)","-","Belgian Chocolate Fudge Brownie with Cappuccino","2025-12-09","10:44:48 AM","2025-12-09","05:16:19 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","149","149","Product Change by Customer","Item Delete","-",
"Coffee Island HQ-27","10001","2025-12-09","2025-12-09","T1-14602","18","POS","DINE IN","Breakfast Specials (Make your own)","Breakfast Specials (Make your own)","-","Belgian Chocolate Fudge Brownie with Cappuccino","2025-12-09","10:59:59 AM","2025-12-09","05:12:56 PM","vitaxnova_ic_payel","vitaxnova_ic_payel","1","149","149","Product Change by Customer","Item Delete","-",
"Coffee Island NSP - New Delhi","10008","2025-12-13","2025-12-13","T1-3911","31","POS","DINE IN","Main Course","Pasta","-","Peperoncino Spaghetti Aglio Olio","2025-12-13","05:43:32 PM","2025-12-14","12:50:16 AM","vitaxnova_cinsp_ansh","vitaxnova_cinsp_farad","1","390","390","guest change mind","Item Delete","-",
"Coffee Island NSP - New Delhi","10008","2025-12-14","2025-12-13","T1-3953","73","Zomato","DELIVERY","Hot Beverages","Hot Brews","99","Americano","2025-12-14","01:28:40 AM","2025-12-14","01:32:44 AM","vitaxnova_cinsp_ansh","vitaxnova_cinsp_ansh","1","230","230","-","Bill Void","-",
"Coffee Island Phoenix Market City - Mumbai","10009","2025-12-10","2025-12-10","T1-2930","7","POS","DINE IN","Value Combos (upto 40% off)","Hot Value Combos (upto 40% off)","541","Chipotle Chicken With Broccomole with Latte","2025-12-10","01:51:24 PM","2025-12-10","04:24:05 PM","vitaxnova_cipmc_anurag","vitaxnova_cipmc_anurag","1","549","549","camncelled","Bill Void","Cash",
"Coffee Island Phoenix Market City - Mumbai","10009","2025-12-10","2025-12-10","T1-2931","8","POS","DINE IN","Main Course","Rice Bowl","175","Cottage Cheese Fajita Broccomole Rice Bowl","2025-12-10","02:00:47 PM","2025-12-10","04:25:06 PM","vitaxnova_cipmc_anurag","vitaxnova_cipmc_anurag","1","350","350","due to out of stock","Bill Void","Other",
