  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Restaurant Packaging Charges,Platform Fee Charge,Delivery Charge,Smile Amount Charge,Total Charges,Net Sale,GST @5%,GST @12%,GST @18%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island Beyond GK II",2025-08-07,"TAKEAWAY",14.00,8,2549.50,32.00,0,0,0,0,0,0,0.00,2517.50,109.00,0,60.74,0,169.74,2687.24,1.76,2689.00,8.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-08,"DINE IN",208.00,67,31624.29,342.00,0,0,0,0,0,0,0.00,31282.29,1433.52,211.82,152.39,0,1797.75,33080.04,17.96,33098.00,68.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-08,"TAKEAWAY",31.00,12,5034.06,198.00,0,15.00,0,0,0,0,15.00,4836.06,218.55,0,93.44,0,311.99,5163.05,0.95,5164.00,10.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-08,"DELIVERY",25.00,12,4723.75,1973.25,70.00,0,0,0,0,0,70.00,2750.50,0,0,0,141.03,141.03,2961.53,1.47,2963.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-09,"TAKEAWAY",44.00,16,7399.19,0.00,0,5.00,0,0,0,0,5.00,7399.19,350.02,13.39,54.91,0,418.33,7822.52,3.48,7826.00,18.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-09,"DINE IN",162.00,47,22464.36,415.00,0,0,0,0,0,0,0.00,22049.36,1096.74,0,20.59,0,1117.35,23166.71,10.29,23177.00,51.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-09,"DELIVERY",28.00,11,3711.25,1303.50,60.00,0,0,0,0,0,60.00,2407.75,0,0,0,123.39,123.40,2591.15,0.85,2592.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-10,"DINE IN",191.00,55,27678.75,455.00,0,0,0,0,0,0,0.00,27223.75,1340.34,0,75.05,0,1415.40,28639.15,9.85,28649.00,59.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-10,"TAKEAWAY",33.00,10,5374.15,300.00,0,20.00,0,0,0,0,20.00,5074.15,248.08,0,33.25,0,281.33,5375.48,0.52,5376.00,7.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-10,"DELIVERY",54.00,16,8147.29,2819.49,90.00,0,0,0,0,0,90.00,5327.80,0,0,38.21,264.54,298.51,5716.31,-0.31,5716.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-11,"DINE IN",89.00,35,11791.61,706.00,0,0,0,0,0,0,0.00,11085.61,548.71,13.39,0,0,562.11,11647.72,7.28,11655.00,36.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-11,"TAKEAWAY",26.00,10,3750.97,174.54,0,5.00,0,0,0,0,5.00,3576.43,172.43,0,26.27,0,198.70,3780.13,2.87,3783.00,12.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-11,"DELIVERY",46.00,15,6558.11,2389.23,80.00,0,0,0,0,0,80.00,4168.88,0,0,20.13,206.85,226.98,4475.86,0.14,4476.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-12,"DINE IN",170.00,50,26279.11,413.00,0,0,0,0,0,0,0.00,25866.11,1287.73,13.39,0,0,1301.14,27167.25,9.75,27177.00,45.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-12,"DELIVERY",62.00,24,9159.05,3090.22,150.00,0,0,0,0,0,150.00,6068.83,0,0,18.33,305.85,324.18,6543.01,1.99,6545.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-12,"TAKEAWAY",25.00,9,4305.00,651.00,0,20.00,0,0,0,0,20.00,3654.00,186.33,0,0,0,186.34,3860.34,0.66,3861.00,4.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-13,"DELIVERY",27.00,13,5264.24,1969.98,80.00,0,0,0,0,0,80.00,3294.26,0,0,0,168.70,168.70,3542.96,2.04,3545.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-13,"DINE IN",173.00,54,26651.51,313.00,0,0,0,0,0,0,0.00,26338.51,1311.34,13.39,0,0,1324.75,27663.26,14.74,27678.00,62.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-13,"TAKEAWAY",23.00,8,3702.68,218.00,0,15.00,0,0,0,0,15.00,3484.68,152.43,58.82,0,0,211.25,3710.93,2.07,3713.00,7.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-14,"DINE IN",165.00,54,24699.94,576.00,0,0,0,0,0,0,0.00,24123.94,1133.49,40.17,201.50,0,1375.18,25499.12,11.88,25511.00,59.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-14,"DELIVERY",36.00,15,6637.50,1468.74,60.00,0,0,0,0,0,60.00,5168.76,0,0,0,261.43,261.44,5490.20,1.80,5492.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-14,"TAKEAWAY",37.00,17,5738.23,300.00,0,30.00,0,0,0,0,30.00,5438.23,225.02,0,188.23,0,413.25,5881.48,0.52,5882.00,11.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-15,"DELIVERY",50.00,22,9470.00,3024.99,80.00,0,0,0,0,0,80.00,6445.01,0,0,0,326.27,326.27,6851.28,0.72,6852.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-15,"TAKEAWAY",62.00,21,9960.23,1115.00,0,15.00,0,0,0,0,15.00,8845.23,427.47,0,62.95,0,490.43,9350.66,5.34,9356.00,21.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-15,"DINE IN",208.00,52,27813.52,5824.00,0,0,0,0,0,0,0.00,21989.52,1057.53,30.43,105.40,0,1193.38,23182.90,10.10,23193.00,59.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-16,"DINE IN",181.00,58,25551.06,1703.00,0,0,0,0,0,0,0.00,23848.06,1179.26,0,47.28,0,1226.54,25074.60,15.40,25090.00,64.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-16,"TAKEAWAY",41.00,13,5882.51,626.00,0,0,0,0,0,0,0.00,5256.51,257.11,0,20.59,0,277.70,5534.21,2.79,5537.00,17.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-16,"DELIVERY",61.00,29,11635.18,4309.47,130.00,0,0,0,0,0,130.00,7325.71,0,58.82,0,348.28,407.12,7862.83,2.17,7865.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-17,"DINE IN",145.00,41,22239.35,1715.00,0,0,0,0,0,0,0.00,20524.35,1026.22,0,0,0,1026.23,21550.58,5.42,21556.00,38.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-17,"DELIVERY",39.00,15,7241.25,2259.99,60.00,0,0,0,0,0,60.00,4981.26,0,0,0,252.06,252.06,5293.32,1.68,5295.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-17,"TAKEAWAY",14.00,6,1942.50,237.00,0,0,0,0,0,0,0.00,1705.50,85.27,0,0,0,85.28,1790.78,2.22,1793.00,7.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-18,"DELIVERY",45.00,20,7693.80,2428.21,90.00,0,0,0,0,0,90.00,5265.59,0,0,0,267.77,267.78,5623.37,0.63,5624.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-18,"DINE IN",185.00,61,25029.50,816.00,0,0,0,0,0,0,0.00,24213.50,1173.27,51.32,57.73,0,1282.34,25495.84,14.16,25510.00,52.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-18,"TAKEAWAY",12.00,5,1640.00,100.00,0,5.00,0,0,0,0,5.00,1540.00,77.90,0,0,0,77.90,1622.90,2.10,1625.00,4.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-19,"TAKEAWAY",34.00,10,6327.00,300.00,0,20.00,0,0,0,0,20.00,6027.00,292.84,13.44,23.45,0,329.73,6376.73,0.27,6377.00,9.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-19,"DINE IN",80.00,23,10052.27,222.00,0,0,0,0,0,0,0.00,9830.27,472.40,32.14,20.59,0,525.15,10355.42,4.58,10360.00,23.00,
"-","-","North","Coffee Island Beyond GK II",2025-08-19,"DELIVERY",57.00,25,9670.00,3691.11,70.00,0,0,0,0,0,70.00,5978.89,0,0,0,302.45,302.44,6351.32,1.68,6353.00,0.00,
